Name,Minimum,Maximum,Length,Direction
SLMs_Harttia,"21,975,033","21,975,103",71,forward
SLMs_Harttia,"28,005,599","28,005,669",71,forward
SLMs_Harttia,"7,958,774","7,958,843",70,forward
SLMs_Harttia,"14,585,705","14,585,774",70,forward
SLMs_Harttia,"30,063,672","30,063,741",70,reverse
SLMs_Harttia,"23,097,820","23,097,888",69,forward
SLMs_Harttia,"17,131,748","17,131,816",69,reverse
SLMs_Harttia,"19,272,680","19,272,748",69,reverse
SLMs_Harttia,"12,651,738","12,651,806",69,reverse
SLMs_Harttia,"16,488,016","16,488,084",69,forward
SLMs_Harttia,"26,154,855","26,154,923",69,forward
SLMs_Harttia,"21,155,660","21,155,728",69,reverse
SLMs_Harttia,"19,014,363","19,014,431",69,reverse
SLMs_Harttia,"2,408,484","2,408,552",69,forward
SLMs_Harttia,"2,419,586","2,419,654",69,forward
SLMs_Harttia,"2,909,992","2,910,060",69,forward
SLMs_Harttia,"7,888,498","7,888,566",69,forward
SLMs_Harttia,"8,306,991","8,307,059",69,forward
SLMs_Harttia,"8,585,663","8,585,731",69,forward
SLMs_Harttia,"8,856,698","8,856,766",69,forward
SLMs_Harttia,"9,006,517","9,006,585",69,forward
SLMs_Harttia,"9,850,857","9,850,925",69,forward
SLMs_Harttia,"9,929,736","9,929,804",69,forward
SLMs_Harttia,"9,952,316","9,952,384",69,forward
SLMs_Harttia,"9,981,872","9,981,940",69,forward
SLMs_Harttia,"10,178,352","10,178,420",69,forward
SLMs_Harttia,"10,465,618","10,465,686",69,forward
SLMs_Harttia,"10,500,395","10,500,463",69,forward
SLMs_Harttia,"10,529,318","10,529,386",69,forward
SLMs_Harttia,"11,094,995","11,095,063",69,forward
SLMs_Harttia,"11,192,497","11,192,565",69,forward
SLMs_Harttia,"12,113,502","12,113,570",69,forward
SLMs_Harttia,"12,545,624","12,545,692",69,forward
SLMs_Harttia,"12,682,633","12,682,701",69,forward
SLMs_Harttia,"12,734,089","12,734,157",69,forward
SLMs_Harttia,"13,093,788","13,093,856",69,forward
SLMs_Harttia,"13,230,328","13,230,396",69,forward
SLMs_Harttia,"13,914,157","13,914,225",69,forward
SLMs_Harttia,"14,290,652","14,290,720",69,forward
SLMs_Harttia,"14,716,018","14,716,086",69,forward
SLMs_Harttia,"15,499,967","15,500,035",69,forward
SLMs_Harttia,"15,556,321","15,556,389",69,forward
SLMs_Harttia,"15,999,564","15,999,632",69,forward
SLMs_Harttia,"16,156,309","16,156,377",69,forward
SLMs_Harttia,"16,602,689","16,602,757",69,forward
SLMs_Harttia,"16,828,212","16,828,280",69,forward
SLMs_Harttia,"17,113,959","17,114,027",69,forward
SLMs_Harttia,"17,410,048","17,410,116",69,forward
SLMs_Harttia,"18,141,576","18,141,644",69,forward
SLMs_Harttia,"18,341,565","18,341,633",69,forward
SLMs_Harttia,"18,698,351","18,698,419",69,forward
SLMs_Harttia,"18,736,634","18,736,702",69,forward
SLMs_Harttia,"19,207,867","19,207,935",69,forward
SLMs_Harttia,"19,277,998","19,278,066",69,forward
SLMs_Harttia,"19,733,763","19,733,831",69,forward
SLMs_Harttia,"19,970,647","19,970,715",69,forward
SLMs_Harttia,"20,096,207","20,096,275",69,forward
SLMs_Harttia,"20,134,121","20,134,189",69,forward
SLMs_Harttia,"20,309,183","20,309,251",69,forward
SLMs_Harttia,"21,141,265","21,141,333",69,forward
SLMs_Harttia,"21,309,901","21,309,969",69,forward
SLMs_Harttia,"21,583,292","21,583,360",69,forward
SLMs_Harttia,"21,791,771","21,791,839",69,forward
SLMs_Harttia,"21,958,997","21,959,065",69,forward
SLMs_Harttia,"22,170,690","22,170,758",69,forward
SLMs_Harttia,"22,968,886","22,968,954",69,forward
SLMs_Harttia,"23,094,874","23,094,942",69,forward
SLMs_Harttia,"23,532,862","23,532,930",69,forward
SLMs_Harttia,"23,649,899","23,649,967",69,forward
SLMs_Harttia,"23,663,599","23,663,667",69,forward
SLMs_Harttia,"23,674,491","23,674,559",69,forward
SLMs_Harttia,"23,916,186","23,916,254",69,forward
SLMs_Harttia,"24,226,537","24,226,605",69,forward
SLMs_Harttia,"24,540,464","24,540,532",69,forward
SLMs_Harttia,"25,070,486","25,070,554",69,forward
SLMs_Harttia,"25,156,509","25,156,577",69,forward
SLMs_Harttia,"25,178,512","25,178,580",69,forward
SLMs_Harttia,"25,248,837","25,248,905",69,forward
SLMs_Harttia,"25,353,783","25,353,851",69,forward
SLMs_Harttia,"25,378,598","25,378,666",69,forward
SLMs_Harttia,"25,419,265","25,419,333",69,forward
SLMs_Harttia,"25,478,677","25,478,745",69,forward
SLMs_Harttia,"25,579,764","25,579,832",69,forward
SLMs_Harttia,"25,800,804","25,800,872",69,forward
SLMs_Harttia,"25,924,326","25,924,394",69,forward
SLMs_Harttia,"25,932,904","25,932,972",69,forward
SLMs_Harttia,"26,206,764","26,206,832",69,forward
SLMs_Harttia,"26,251,624","26,251,692",69,forward
SLMs_Harttia,"26,380,225","26,380,293",69,forward
SLMs_Harttia,"26,471,540","26,471,608",69,forward
SLMs_Harttia,"26,538,018","26,538,086",69,forward
SLMs_Harttia,"26,680,066","26,680,134",69,forward
SLMs_Harttia,"26,703,433","26,703,501",69,forward
SLMs_Harttia,"26,711,913","26,711,981",69,forward
SLMs_Harttia,"26,729,018","26,729,086",69,forward
SLMs_Harttia,"26,849,124","26,849,192",69,forward
SLMs_Harttia,"27,035,673","27,035,741",69,forward
SLMs_Harttia,"27,057,512","27,057,580",69,forward
SLMs_Harttia,"27,114,162","27,114,230",69,forward
SLMs_Harttia,"27,341,641","27,341,709",69,forward
SLMs_Harttia,"27,446,727","27,446,795",69,forward
SLMs_Harttia,"27,498,682","27,498,750",69,forward
SLMs_Harttia,"27,643,682","27,643,750",69,forward
SLMs_Harttia,"28,495,988","28,496,056",69,forward
SLMs_Harttia,"29,399,322","29,399,390",69,forward
SLMs_Harttia,"29,711,625","29,711,693",69,forward
SLMs_Harttia,"30,002,441","30,002,509",69,forward
SLMs_Harttia,"30,710,024","30,710,092",69,forward
